,UMAP_1,UMAP_2
cell_00298,7.3891883,-2.9953663
cell_00299,8.770663,-1.1417047
cell_00300,9.324645,-2.8767061
cell_00301,-4.8851886,3.804511
cell_00302,6.0463157,0.76619345
cell_00303,4.5255766,2.2604883
cell_00304,8.588219,-5.8273463
cell_00305,3.9343853,3.8885698
cell_00306,0.7314649,6.842809
cell_00307,7.5245457,-1.1533082
cell_00308,-4.0740423,6.905198
cell_00309,-4.55123,5.0118656
cell_00310,3.8203075,3.2250812
cell_00311,1.882886,4.942391
cell_00312,-3.7271805,6.0520754
cell_00313,-0.49015367,7.2632227
cell_00314,-0.7579502,6.7635293
cell_00315,-1.6254402,7.323772
cell_00316,0.13321747,6.8210673
cell_00317,8.073465,-4.7124515
cell_00318,-3.2438965,6.230962
cell_00319,9.606682,-4.8562818
cell_00320,9.261655,-3.3596225
cell_00321,2.8298903,3.1663945
cell_00322,-2.1628764,7.577723
cell_00323,4.1884637,1.2437285
cell_00324,7.090298,-5.0631948
cell_00325,8.816384,-0.90420496
cell_00326,7.3954883,-3.873006
cell_00327,4.9633265,0.53652835
cell_00328,6.9593577,-1.2199433
cell_00329,-3.5627482,6.5550137
cell_00330,8.614845,-3.8260243
cell_00331,-3.757062,6.323415
cell_00332,8.88643,-1.7553498
cell_00333,10.038509,-2.1592345
cell_00334,-4.4786997,3.5359674
cell_00335,6.0858994,-1.6118205
cell_00336,-4.6407285,3.8068447
cell_00337,9.031866,-2.3180172
cell_00338,-6.0193806,2.9255695
cell_00339,8.640173,-4.7941375
cell_00340,-4.0721374,3.80957
cell_00341,7.7363315,-5.969243
cell_00342,7.3764806,-5.7521615
cell_00343,5.4712043,-1.4110395
cell_00344,8.274789,-5.9099574
cell_00345,8.113453,-3.1694865
cell_00346,7.5662875,-4.989955
cell_00347,-3.9672668,6.5081263
cell_00348,5.420531,-1.285933
cell_00349,-4.887296,3.2519372
cell_00350,6.348358,-1.6198982
cell_00351,-3.6476326,4.6716433
cell_00352,6.395551,-0.6068325
cell_00353,5.9291816,-1.7337103
cell_00354,3.5254517,3.6831553
cell_00355,5.2009983,0.7825022
cell_00356,8.0535965,-4.431805
cell_00357,9.057866,-4.2616887
cell_00358,4.3631406,2.913686
cell_00359,5.403834,-1.0598551
cell_00360,8.807368,-3.797973
cell_00361,-5.312516,3.857326
cell_00362,-5.120417,5.504846
cell_00363,-4.1461678,3.4377658
cell_00364,8.796649,-0.50485516
cell_00365,1.2081344,6.2026258
cell_00366,8.863456,-4.5061154
cell_00367,6.5956206,-3.6403491
cell_00368,-2.138249,7.377594
cell_00369,8.460309,-5.379333
cell_00370,7.436729,-3.4909735
cell_00371,-3.5775623,6.5916715
cell_00372,-1.1780416,7.415129
cell_00373,-2.4009445,7.185059
cell_00374,-3.865882,4.8913302
cell_00375,-5.351853,4.210517
cell_00376,7.3557825,-5.237452
cell_00377,1.7795792,5.384964
cell_00378,1.4625596,6.7546263
cell_00379,9.429277,-3.444082
cell_00380,4.824662,0.764576
cell_00381,9.851723,-4.263837
cell_00382,6.2770476,-3.858754
cell_00383,2.9580805,2.9951723
cell_00384,-0.3137672,6.846173
cell_00385,10.113643,-2.6297083
cell_00386,7.4672165,-4.2041836
cell_00387,9.175115,-5.4779963
cell_00388,-4.6442575,3.7844982
cell_00389,8.037737,-2.8790712
cell_00390,7.367651,-0.1329403
cell_00391,-4.285297,3.6043575
cell_00392,6.713896,-0.3154112
cell_00393,8.620152,-1.0212065
cell_00394,-6.4953322,1.121068
cell_00395,3.225541,4.2158246
cell_00396,8.421648,-3.5002809
cell_00397,-2.8295913,6.3033037
