,UMAP_1,UMAP_2,UMAP_3
cell_00410,11.068535,-0.27942446,-0.14358938
cell_00411,9.86295,0.12380298,1.2462727
cell_00412,-2.2125473,4.669377,4.035199
cell_00413,10.86653,-3.1246567,-1.2999389
cell_00414,-4.0089808,3.0890465,4.1544123
cell_00415,-1.0975103,6.3995442,2.3460732
cell_00416,-1.7488425,5.4811316,2.568231
cell_00417,11.307704,-1.6848884,1.5756915
cell_00418,-1.8452346,5.472215,2.794631
cell_00419,11.426887,-2.6582656,0.93184435
cell_00420,11.261131,-0.24500877,0.16755544
cell_00421,-4.4088182,4.125593,4.5821214
cell_00422,-4.6574497,3.607377,4.7461195
cell_00423,-4.031585,4.363574,4.389935
cell_00424,9.396717,0.3598208,-0.6191634
cell_00425,11.162855,-2.0312135,-1.1702441
cell_00426,-0.93350565,5.455199,2.4855
cell_00427,10.89559,-1.5274816,2.1630523
cell_00428,-3.641463,4.7647104,4.1624775
cell_00429,11.756927,-2.4782002,1.1342456
cell_00430,10.287347,-1.9054039,1.6966004
cell_00431,11.097017,-2.458558,-1.6536824
cell_00432,11.037472,-0.7787891,1.9992244
cell_00433,11.430618,-2.3320014,1.7608031
cell_00434,-3.564388,3.6574059,3.93029
cell_00435,-1.0120128,6.452281,3.676106
cell_00436,-1.8181509,6.0777597,3.570138
cell_00437,8.205069,3.2951882,-0.085598275
cell_00438,11.227033,-0.7360781,1.825149
cell_00439,9.9428625,-1.1786697,-1.3757428
cell_00440,10.917883,-2.3857841,-1.5844419
cell_00441,-1.8247734,5.041598,3.9316032
cell_00442,10.455656,-2.8833845,-1.2178268
cell_00443,-1.1851311,5.9363537,3.9102519
cell_00444,-0.4918172,5.7246027,3.7534378
cell_00445,11.2133665,-1.4495091,0.12507583
cell_00446,11.403205,-3.3692303,0.49140683
cell_00447,9.999639,0.73344535,-0.92611074
cell_00448,-3.895532,4.306155,4.656813
cell_00449,10.385231,0.45219046,0.97978926
cell_00450,-4.0427685,4.4458284,4.4771523
cell_00451,10.499161,-3.1349065,-1.697174
cell_00452,11.459377,-1.900971,1.3012276
cell_00453,-1.1944685,4.7245955,3.9101667
cell_00454,-2.8665192,5.456016,3.930319
cell_00455,-1.1635598,6.0299954,3.4078357
cell_00456,11.247236,-2.593629,0.44882163
cell_00457,6.012729,5.486857,0.8625818
